replicate,treatment,compartment,treatment_compartment,color,mol.biovolume.hyphae,biovolume.roots,ratio,sum
1,control,young,control_young,1,6.60E-22,8.26E-22,8.00E-01,1.49E-21
2,control,young,control_young,1,4.69E-22,7.94E-22,5.90E-01,1.26E-21
3,control,young,control_young,1,5.43E-22,7.64E-22,7.11E-01,1.31E-21
4,control,young,control_young,1,5.69E-22,7.45E-22,7.64E-01,1.31E-21
5,control,young,control_young,1,5.30E-22,7.41E-22,7.15E-01,1.27E-21
7,control,established,control_established,1,5.02E-22,4.70E-22,1.07E+00,9.73E-22
8,control,established,control_established,1,4.04E-22,4.55E-22,8.88E-01,8.59E-22
9,control,established,control_established,1,4.86E-22,6.49E-22,7.50E-01,1.13E-21
10,control,established,control_established,1,5.58E-22,7.47E-22,7.47E-01,1.30E-21
11,lowP,young,lowP_young,1,5.51E-22,6.53E-22,8.43E-01,1.20E-21
12,lowP,young,lowP_young,1,4.56E-22,6.75E-22,6.76E-01,1.13E-21
13,lowP,young,lowP_young,1,6.91E-22,5.75E-22,1.20E+00,1.27E-21
14,lowP,young,lowP_young,1,5.95E-22,6.58E-22,9.04E-01,1.25E-21
15,lowP,established,lowP_established,1,4.10E-22,5.66E-22,7.24E-01,9.76E-22
16,lowP,established,lowP_established,1,4.19E-22,6.89E-22,6.08E-01,1.11E-21
17,lowP,established,lowP_established,1,5.44E-22,6.17E-22,8.81E-01,1.16E-21
18,lowP,established,lowP_established,1,6.74E-22,5.47E-22,1.23E+00,1.22E-21
19,lowP,established,lowP_established,1,5.47E-22,4.92E-22,1.11E+00,1.04E-21
1,control,young,control_young,2,9.99E-22,9.72E-22,1.03E+00,1.97E-21
2,control,young,control_young,2,6.42E-22,1.23E-21,5.22E-01,1.87E-21
3,control,young,control_young,2,8.35E-22,9.49E-22,8.80E-01,1.78E-21
4,control,young,control_young,2,7.42E-22,8.84E-22,8.40E-01,1.63E-21
5,control,young,control_young,2,7.60E-22,8.66E-22,8.78E-01,1.63E-21
7,control,established,control_established,2,7.25E-22,4.61E-22,1.57E+00,1.19E-21
8,control,established,control_established,2,5.53E-22,4.99E-22,1.11E+00,1.05E-21
9,control,established,control_established,2,5.15E-22,8.31E-22,6.20E-01,1.35E-21
10,control,established,control_established,2,6.31E-22,8.95E-22,7.05E-01,1.53E-21
11,lowP,young,lowP_young,2,5.36E-22,7.40E-22,7.24E-01,1.28E-21
12,lowP,young,lowP_young,2,5.36E-22,7.61E-22,7.04E-01,1.30E-21
13,lowP,young,lowP_young,2,7.34E-22,7.17E-22,1.02E+00,1.45E-21
14,lowP,young,lowP_young,2,5.08E-22,8.58E-22,5.92E-01,1.37E-21
15,lowP,established,lowP_established,2,6.11E-22,8.89E-22,6.88E-01,1.50E-21
16,lowP,established,lowP_established,2,6.12E-22,8.50E-22,7.20E-01,1.46E-21
17,lowP,established,lowP_established,2,5.83E-22,8.18E-22,7.13E-01,1.40E-21
18,lowP,established,lowP_established,2,7.61E-22,8.52E-22,8.94E-01,1.61E-21
19,lowP,established,lowP_established,2,4.15E-22,7.26E-22,5.71E-01,1.14E-21
1,control,young,control_young,3,4.51E-22,5.25E-22,8.59E-01,9.76E-22
2,control,young,control_young,3,3.39E-22,5.39E-22,6.28E-01,8.78E-22
3,control,young,control_young,3,3.68E-22,5.69E-22,6.46E-01,9.37E-22
4,control,young,control_young,3,4.00E-22,4.74E-22,8.45E-01,8.74E-22
5,control,young,control_young,3,3.83E-22,5.88E-22,6.52E-01,9.71E-22
7,control,established,control_established,3,3.71E-22,2.39E-22,1.55E+00,6.10E-22
8,control,established,control_established,3,3.19E-22,2.67E-22,1.19E+00,5.87E-22
9,control,established,control_established,3,2.89E-22,3.67E-22,7.86E-01,6.56E-22
10,control,established,control_established,3,3.06E-22,4.95E-22,6.17E-01,8.01E-22
11,lowP,young,lowP_young,3,3.62E-22,6.91E-22,5.24E-01,1.05E-21
12,lowP,young,lowP_young,3,3.13E-22,5.70E-22,5.48E-01,8.83E-22
13,lowP,young,lowP_young,3,3.00E-22,5.90E-22,5.08E-01,8.89E-22
14,lowP,young,lowP_young,3,2.31E-22,6.34E-22,3.64E-01,8.65E-22
15,lowP,established,lowP_established,3,3.78E-22,6.17E-22,6.13E-01,9.95E-22
16,lowP,established,lowP_established,3,3.43E-22,5.51E-22,6.23E-01,8.94E-22
17,lowP,established,lowP_established,3,3.45E-22,5.88E-22,5.87E-01,9.34E-22
18,lowP,established,lowP_established,3,3.79E-22,5.96E-22,6.37E-01,9.75E-22
19,lowP,established,lowP_established,3,4.12E-22,5.39E-22,7.64E-01,9.50E-22
