replicate,compartment_nr,compartment_nr,treatment,color,ratio_young/established
1,1,3,control,1,2.80E+00
2,5,7,control,1,0.389813335
3,9,11,control,1,0.972441337
4,13,15,control,1,1.207305906
5,29,31,control,1,0.276321661
6,33,35,control,1,0.584398547
7,37,39,control,1,0.297203545
8,41,43,control,1,0.720039485
9,45,47,control,1,0.767518293
10,49,51,control,1,0.279485753
11,53,55,control,1,1.147678953
12,57,59,control,1,0.640923656
13,65,67,control,1,0.348987429
14,69,71,control,1,0.780314479
15,73,75,control,1,0.894773957
16,77,79,control,1,0.956326008
17,93,95,control,1,0.906256079
18,97,99,control,1,0.862451659
19,101,103,control,1,0.944741064
20,105,107,control,1,1.040784738
21,109,111,control,1,0.537990212
22,117,119,control,1,0.699964809
23,125,127,control,1,0.364903246
24,129,131,control,1,1.890486735
25,137,139,lowP,1,0.590562516
26,141,143,lowP,1,-0.137095546
27,145,147,lowP,1,1.075868232
28,149,151,lowP,1,0.647454603
29,NA,NA,lowP,1,NA
30,157,159,lowP,1,0.955266794
31,161,163,lowP,1,0.73643319
32,165,167,lowP,1,0.835562073
33,169,171,lowP,1,0.346448504
34,173,175,lowP,1,0.549722826
35,177,179,lowP,1,0.807696189
36,181,183,lowP,1,0.554918483
37,185,NA,lowP,1,NA
38,189,191,lowP,1,1.427697843
39,193,195,lowP,1,2.582461376
40,197,NA,lowP,1,NA
41,201,NA,lowP,1,NA
42,205,207,lowP,1,0.641556164
43,209,211,lowP,1,0.467384107
44,213,215,lowP,1,0.637687344
45,217,219,lowP,1,0.422298716
46,221,223,lowP,1,0.671956758
47,225,227,lowP,1,0.916105308
48,229,231,lowP,1,1.687447791
49,233,NA,lowP,1,NA
50,237,239,lowP,1,0.2525396
1,1,3,control,2,0.243953294
2,5,7,control,2,1.484752215
3,9,11,control,2,1.362793446
4,13,15,control,2,0.922160578
5,29,31,control,2,0.498331908
6,33,35,control,2,0.513532045
7,37,39,control,2,0.515876364
8,41,43,control,2,0.407586797
9,45,47,control,2,0.455455407
10,49,51,control,2,0.826959912
11,53,55,control,2,0.695302301
12,57,59,control,2,0.58324139
13,65,67,control,2,0.85862354
14,69,71,control,2,0.557742522
15,73,75,control,2,0.471416104
16,77,79,control,2,0.619362773
17,93,95,control,2,0.942796813
18,97,99,control,2,0.350597005
19,101,103,control,2,0.752859822
20,105,107,control,2,0.994203513
21,109,111,control,2,1.481246849
22,117,119,control,2,0.270467199
23,125,127,control,2,2.569211946
24,129,131,control,2,1.349393403
25,137,139,lowP,2,1.035273298
26,141,143,lowP,2,0.826597486
27,145,147,lowP,2,1.166678404
28,149,151,lowP,2,1.625005726
29,NA,NA,lowP,2,NA
30,157,159,lowP,2,1.166631521
31,161,163,lowP,2,0.58520236
32,165,167,lowP,2,0.651769656
33,169,171,lowP,2,0.274078502
34,173,175,lowP,2,0.220174789
35,177,179,lowP,2,0.556077894
36,181,183,lowP,2,0.344637466
37,185,NA,lowP,2,NA
38,189,191,lowP,2,1.663430504
39,193,195,lowP,2,1.111079502
40,197,NA,lowP,2,NA
41,201,NA,lowP,2,NA
42,205,207,lowP,2,2.120470043
43,209,211,lowP,2,1.143187198
44,213,215,lowP,2,0.140398411
45,217,219,lowP,2,0.552916125
46,221,223,lowP,2,NA
47,225,227,lowP,2,0.789612003
48,229,231,lowP,2,3.197322805
49,233,NA,lowP,2,NA
50,237,239,lowP,2,NA
1,1,3,control,3,7.93E-01
2,5,7,control,3,9.99E-01
3,9,11,control,3,8.03E-01
4,13,15,control,3,6.03E-01
5,29,31,control,3,1.15E+00
6,33,35,control,3,2.31E+00
7,37,39,control,3,1.45E+00
8,41,43,control,3,3.07E-01
9,45,47,control,3,6.11E-01
10,49,51,control,3,2.02E+00
11,53,55,control,3,2.54E-01
12,57,59,control,3,3.54E+00
13,65,67,control,3,8.09E-01
14,69,71,control,3,6.84E-01
15,73,75,control,3,7.13E-01
16,77,79,control,3,3.77E-01
17,93,95,control,3,2.71E+00
18,97,99,control,3,7.44E-01
19,101,103,control,3,7.26E-01
20,105,107,control,3,2.21E+00
21,109,111,control,3,9.42E-01
22,117,119,control,3,3.95E+00
23,125,127,control,3,5.61E+00
24,129,131,control,3,1.41E+00
25,137,139,lowP,3,4.6966314
26,141,143,lowP,3,1.73484259
27,145,147,lowP,3,0.850116918
28,149,151,lowP,3,4.594028106
29,NA,NA,lowP,3,NA
30,157,159,lowP,3,1.223518024
31,161,163,lowP,3,0.981895724
32,165,167,lowP,3,7.33355632
33,169,171,lowP,3,2.346504365
34,173,175,lowP,3,0.613630285
35,177,179,lowP,3,2.019273982
36,181,183,lowP,3,1.850417239
37,185,NA,lowP,3,NA
38,189,191,lowP,3,1.434968987
39,193,195,lowP,3,2.378743377
40,197,NA,lowP,3,NA
41,201,NA,lowP,3,NA
42,205,207,lowP,3,0.475988334
43,209,211,lowP,3,2.354967233
44,213,215,lowP,3,1.440281422
45,217,219,lowP,3,0.937197348
46,221,223,lowP,3,NA
47,225,227,lowP,3,5.042598361
48,229,231,lowP,3,1.986572423
49,233,NA,lowP,3,NA
50,237,239,lowP,3,1.887380219
